frequency_hz,Warm_Tube_Subtle_actual_db,Warm_Tube_Subtle_tone_only_db,Warm_Tube_Reference_actual_db,Warm_Tube_Reference_tone_only_db,Warm_Tube_Rich_actual_db,Warm_Tube_Rich_tone_only_db
20.0,-1.19708592586664,0.8029140741333586,-1.694008215658125,1.3059917843418754,-2.0932482759951068,1.9067517240048941
20.34926805495214,-1.197014456596668,0.8029855434033322,-1.6938577245610684,1.3061422754389325,-2.0930727413178,1.9069272586822008
20.70463551861478,-1.1969426937155236,0.8030573062844779,-1.6937062481290353,1.3062937518709656,-2.092895469587343,1.9071045304126581
21.066208907418744,-1.196870784610903,0.803129215389098,-1.6935540571957124,1.3064459428042876,-2.0927167155268505,1.90728328447315
21.43409659793422,-1.1967988930440325,0.8032011069559666,-1.6934014534933333,1.3065985465066685,-2.0925367650200926,1.9074632349799072
21.808408859355055,-1.1967272004169955,0.803272799583006,-1.6932487722574872,1.3067512277425117,-2.092355937669272,1.907644062330729
22.18925788655044,-1.1966559069739764,0.8033440930260247,-1.6930963848372624,1.306903615162737,-2.0921745899475925,1.9078254100524061
22.57675783369378,-1.1965852336996485,0.8034147663003528,-1.6929447018517414,1.3070552981482586,-2.0919931179603073,1.908006882039694
22.971024848478763,-1.1965154237625608,0.8034845762374392,-1.6927941759763523,1.3072058240236495,-2.0918119608670764,1.9081880391329222
23.372177106933034,-1.196446744385243,0.803553255614759,-1.6926453055231878,1.3073546944768133,-2.0916316042080494,1.9083683957919506
23.7803348488398,-1.196379488528929,0.8036205114710719,-1.6924986380675764,1.307501361932424,-2.091452583776716,1.9085474162232834
24.19562041377803,-1.1963139772199307,0.8036860227800704,-1.6923547741489362,1.3076452258510673,-2.0912754897033032,1.908724510296698
24.618158277792052,-1.196250561361543,0.8037494386384568,-1.6922143712717774,1.3077856287282241,-2.091100970592807,1.9088990294071937
25.048075090701467,-1.1961896244023813,0.8038103755976194,-1.6920781487764676,1.3079218512235329,-2.0909297382487018,1.9090702617513
25.485499714062673,-1.196131584605188,0.8038684153948129,-1.6919468917816038,1.3080531082183966,-2.0907625726738663,1.9092374273261332
25.930563259793367,-1.1960768974935512,0.8039231025064476,-1.6918214567164216,1.308178543283578,-2.0906003270235356,1.9093996729764613
26.383399129471435,-1.1960260592711012,0.803973940728897,-1.6917027764537005,1.3082972235462984,-2.090443933721041,1.9095560662789617
26.844143054320256,-1.1959796090043093,0.8040203909956927,-1.6915918658095457,1.308408134190454,-2.0902944100063,1.909705589993701
27.312933135892223,-1.1959381326142802,0.8040618673857224,-1.6914898278686823,1.3085101721313146,-2.09015286481455,1.9098471351854485
27.789909887462752,-1.1959022657476512,0.8040977342523482,-1.6913978599465354,1.308602140053463,-2.0900205051895453,1.9099794948104554
28.275216276147216,-1.1958726975990888,0.8041273024009126,-1.691317260868077,1.3086827391319231,-2.0898986439323854,1.910101356067613
28.768997765753262,-1.1958501746695769,0.804149825330423,-1.6912494375394473,1.3087505624605553,-2.089788707132442,1.9102112928675568
29.2714023603816,-1.1958355050785403,0.8041644949214592,-1.6911959132155576,1.3088040867844413,-2.0896922427794316,1.9103077572205693
29.782580648788194,-1.195829562611381,0.8041704373886198,-1.69115833503624,1.3088416649637613,-2.089610929097014,1.9103890709029852
30.302685849521062,-1.195833291565536,0.804166708434463,-1.6911384827773879,1.3088615172226128,-2.0895465843646486,1.9104534156353528
30.83187385684546,-1.1958477115196242,0.804152288480374,-1.6911382778203503,1.3088617221796484,-2.089501176649558,1.9104988233504436
31.37030328747096,-1.19587392243747,0.8041260775625291,-1.6911597926461561,1.308840207353845,-2.0894768342873613,1.9105231657126407
31.918135528094624,-1.1959131102710991,0.8040868897289015,-1.6912052605709538,1.3087947394290467,-2.089475857177438,1.9105241428225581
32.47553478377444,-1.1959665525403447,0.8040334474596534,-1.6912770865615587,1.3087229134384413,-2.089500728537173,1.9104992714628277
33.04266812714741,-1.1960356245459893,0.8039643754540111,-1.691377857843107,1.3086221421568949,-2.089554127395682,1.9104458726043185
33.61970554850728,-1.1961218056053395,0.8038781943946606,-1.6915103555765378,1.3084896444234637,-2.0896389416704135,1.9103610583295874
34.206820006756814,-1.1962266857958317,0.8037733142041686,-1.691677566794564,1.3083224332054357,-2.0897582822238197,1.910241717776179
34.804187481249706,-1.1963519730506698,0.8036480269493308,-1.6918826967939786,1.3081173032060227,-2.089915497411256,1.9100845025887458
35.411987024537986,-1.1964995002703058,0.8035004997296947,-1.6921291820119153,1.3078708179880842,-2.090114188230882,1.9098858117691175
36.03040081604052,-1.1966712330989364,0.8033287669010613,-1.6924207035868197,1.3075792964131803,-2.09035822474883,1.9096417752511679
36.65961421664872,-1.1968692779786059,0.8031307220213952,-1.6927612007540076,1.3072387992459902,-2.090651762552348,1.9093482374476527
37.29981582428595,-1.197095890065333,0.8029041099346658,-1.6931548853951208,1.3068451146048778,-2.0909992606121937,1.9090007393878063
37.951197530437014,-1.1973534822121803,0.8026465177878193,-1.6936062561607357,1.3063937438392648,-2.091405499330135,1.9085945006698621
38.613954577665,-1.1976446332805881,0.802355366719411,-1.6941201132908712,1.3058798867091281,-2.091875599559799,1.9081244004402
39.288285618132555,-1.1979720974969141,0.8020279025030862,-1.694701573347444,1.3052984266525571,-2.0924150422956536,1.9075849577043473
39.97439277314502,-1.198338813510633,0.801661186489365,-1.6953560841413597,1.304643915858641,-2.093029688979524,1.906970311020477
40.672481693733474,-1.198747913743499,0.801252086256502,-1.6960894394379533,1.3039105605620454,-2.093725801961727,1.9062741980382731
41.38276162229581,-1.1992027339610665,0.800797266038935,-1.6969077935471308,1.3030922064528674,-2.094510066132774,1.9054899338672249
42.10544545531415,-1.1997068225440197,0.8002931774559834,-1.6978176754200927,1.302182324579907,-2.0953896103240783,1.9046103896759226
42.84074980716769,-1.200263950074247,0.7997360499257529,-1.6988260021103505,1.3011739978896497,-2.0963720290916217,1.903627970908379
43.58889507505972,-1.2008781185299071,0.7991218814700917,-1.6999400915718548,1.300059908428146,-2.097465404901595,1.9025345950984052
44.350105505078645,-1.2015535702689613,0.7984464297310405,-1.7011676741732076,1.2988323258267918,-2.098678329818412,1.90132167018159
45.124609259412686,-1.2022947967471214,0.7977052032528763,-1.7025169027680185,1.2974830972319817,-2.100019927099964,1.8999800729000358
45.912638484738196,-1.203106546413983,0.7968934535860177,-1.7039963612417495,1.2960036387582508,-2.101499872184182,1.898500127815819
46.714429381802454,-1.2039938323065866,0.7960061676934121,-1.7056150706992856,1.2943849293007128,-2.103128412873845,1.8968715871261561
47.53022227622151,-1.204961938374417,0.795038061625586,-1.7073824930201744,1.292617506979826,-2.1049163883700692,1.8950836116299286
48.36026169051442,-1.206016424912938,0.7939835750870637,-1.7093085316818026,1.290691468318195,-2.106875246713265,1.893124753286735
49.204796417395535,-1.2071631325652834,0.792836867434717,-1.7114035286611287,1.2885964713388718,-2.109017060181654,1.8909829398183469
50.064079594346516,-1.2084081846372123,0.7915918153627882,-1.713678257456455,1.2863217425435467,-2.1113545383809638,1.8886454616190351
50.93836877949081,-1.2097579876327391,0.7902420123672603,-1.7161439108981127,1.283856089101887,-2.113901038212789,1.8860989617872086
51.82792602879318,-1.2112192293355182,0.7887807706644818,-1.718812084231218,1.281187915768781,-2.116670570008149,1.8833294299918522
52.73301797460717,-1.2127988743758773,0.7872011256241229,-1.7216947510163962,1.2783052489836042,-2.1196777998114644,1.8803222001885334
53.65391590559452,-1.214504156891636,0.7854958431083643,-1.7248042331731726,1.2751957668268283,-2.1229380459324365,1.8770619540675615
54.590895848040155,-1.2163425692824865,0.7836574307175137,-1.7281531622499393,1.27184683775006,-2.1264672701555645,1.8735327298444362
55.54423864858711,-1.2183218477172721,0.7816781522827281,-1.731754432990559,1.2682455670094401,-2.130282061865583,1.8697179381344184
56.51423005841657,-1.2204499527013364,0.7795500472986617,-1.735621146848487,1.2643788531515106,-2.134399614206383,1.8656003857936188
57.50116081889761,-1.2227350450580179,0.7772649549419813,-1.7397665455821596,1.2602334544178397,-2.138837691875965,1.8611623081240338
58.505326748732905,-1.2251854564170397,0.7748145435829621,-1.7442039338955393,1.2557960661044578,-2.1436145885166966,1.8563854114833056
59.527028832626364,-1.227809653956902,0.772190346043099,-1.748946589881271,1.2510534101187263,-2.1487490733248613,1.8512509266751391
60.56657331149892,-1.2306161983950084,0.7693838016049904,-1.7540076632737311,1.2459923367262697,-2.154260325322553,1.8457396746774457
61.62427177428008,-1.2336136953707932,0.7663863046292075,-1.7594000604669422,1.2405999395330587,-2.160167854023302,1.8398321459766982
62.700441251302315,-1.2368107392796277,0.7631892607203733,-1.7651363159334208,1.2348636840665794,-2.1664914056469993,1.833508594353004
63.795404309326436,-1.2402158493735547,0.7597841506264457,-1.7712284499402107,1.2287715500597898,-2.17325085317932,1.82674914682068
64.90948914822663,-1.2438373976321684,0.7561626023678312,-1.7776878121020219,1.2223121878979755,-2.1804660697910196,1.8195339302089804
66.04302969936352,-1.2476835281039156,0.7523164718960826,-1.7845249114222055,1.2154750885777972,-2.1881567839279716,1.8118432160720288
67.19636572567563,-1.251762067981665,0.7482379320183336,-1.7917492331649,1.2082507668350997,-2.1963424155146116,1.8036575844853864
68.36984292351859,-1.2560804298460915,0.7439195701539068,-1.7993690432223155,1.2006309567776834,-2.2050418928776487,1.794958107122351
69.56381302628262,-1.2606455054398746,0.7393544945601248,-1.8073911817214807,1.1926088182785168,-2.2142734491818556,1.785726550818142
70.7786339098198,-1.265463551655347,0.7345364483446549,-1.8158208471411863,1.1841791528588133,-2.2240543989393227,1.7759456010606756
72.01466969971241,-1.2705400688019772,0.7294599311980223,-1.8246613733676882,1.1753386266323136,-2.234400894544036,1.7655991054559634
73.27229088041433,-1.2758796725847585,0.7241203274152432,-1.8339140025683587,1.1660859974316395,-2.245327663279135,1.754672336720867
74.55187440629881,-1.2814859602740483,0.7185140397259521,-1.843577656618431,1.1564223433815721,-2.256847726419727,1.743152273580273
75.853803814645,-1.2873613731217364,0.7126386268782642,-1.8536487115135059,1.1463512884864955,-2.268972101825752,1.731027898174248
77.17846934059807,-1.2935070564193878,0.7064929435806128,-1.8641207782421743,1.135879221757827,-2.281709492310651,1.7182905076893473
78.52626803413676,-1.2999227194011942,0.7000772805988036,-1.8749844955230683,1.1250155044769352,-2.2950659632822843,1.7049340367177148
79.89760387908342,-1.30660649737213,0.6933935026278708,-1.8862273389118442,1.113772661088155,-2.3090446126805024,1.6909553873194967
81.2928879141926,-1.313554818671458,0.68644518132854,-1.8978334518636975,1.102166548136305,-2.323645238435204,1.6763547615647965
82.71253835635422,-1.3207622795303509,0.6792377204696498,-1.9097835041931446,1.0902164958068559,-2.338864007937396,1.6611359920626023
84.15698072594806,-1.3282215299948743,0.6717784700051248,-1.9220545834928684,1.0779454165071298,-2.354693135846638,1.6453068641533624
85.62664797438788,-1.3359231741369546,0.6640768258630434,-1.9346201246581052,1.0653798753418962,-2.3711205765441994,1.628879423455799
87.12198061389218,-1.3438556880358958,0.6561443119641021,-1.947449882709974,1.0525501172900293,-2.3881297382067346,1.6118702617932634
88.64342684952172,-1.3520053588396639,0.6479946411603345,-1.9605099535313601,1.0394900464686407,-2.4056992260751207,1.5943007739248785
90.19144271352295,-1.3603562482001397,0.6396437517998583,-1.9737628458625038,1.026237154137495,-2.4238026223530422,1.5761973776469582
91.7664922020169,-1.3688901830814069,0.6311098169185942,-1.9871676079566107,1.0128323920433893,-2.4424083106729406,1.5575916893270583
93.36904741407585,-1.377586776523445,0.6224132234765554,-2.000680010385608,0.9993199896143936,-2.4614793523540612,1.5385206476459379
94.99958869322826,-1.386423480459713,0.6135765195402848,-2.0142527857106414,0.9857472142893592,-2.480973421671355,1.5190265783286496
96.65860477143505,-1.395375672310477,0.6046243276895235,-2.027835924437266,0.9721640755627358,-2.5008428063992922,1.4991571936007078
98.34659291558037,-1.4044167759044468,0.5955832240955518,-2.0413770251526553,0.9586229748473472,-2.521034478880419,1.478965521119583
100.0640590765201,-1.4135184171077242,0.5864815828922744,-2.0548216955802103,0.9451783044197892,-2.5414902419069643,1.458509758093036
101.81151804073365,-1.4226506130190952,0.5773493869809022,-2.068113999900931,0.931886000099067,-2.562146951812958,1.437853048187041
103.58949358462426,-1.4317819933873497,0.5682180066126512,-2.0811969466435896,0.9188030533564067,-2.582936819893858,1.417063180106144
105.39851863151314,-1.440880051578585,0.559119948421414,-2.0940130102659125,0.905986989734086,-2.603787791152553,1.3962122088474498
107.23913541137635,-1.4499114218847993,0.5500885781152003,-2.1065046790968864,0.893495320903114,-2.624623997713801,1.3753760022862005
109.11189562337042,-1.4588421790836412,0.541157820916358,-2.118615021494996,0.8813849785050039,-2.6453662821827484,1.3546337178172485
111.01736060119612,-1.4676381557691514,0.5323618442308492,-2.1302882619991563,0.869711738000844,-2.665932784461233,1.3340672155387665
112.95610148135117,-1.4762652722864102,0.5237347277135871,-2.1414703592660222,0.858529640733981,-2.6862395839235846,1.3137604160764151
114.92869937431949,-1.4846898740200625,0.5153101259799346,-2.1521095779747585,0.8478904220252436,-2.7062013873080075,1.2937986126919945
116.9357455387518,-1.4928790706036414,0.5071209293963587,-2.162157047263632,0.8378429527363693,-2.7257322516912854,1.274267748308715
118.97784155868663,-1.5008010716702023,0.49919892832979823,-2.1715672992650763,0.8284327007349207,-2.7447463310093765,1.255253668990623
121.055599523867,-1.5084255140997156,0.4915744859002861,-2.180298782114596,0.8197012178854034,-2.7631586343449657,1.2368413656550357
123.16964221320535,-1.5157237761659763,0.48427622383402547,-2.188314342750532,0.8116856572494678,-2.780885784189324,1.219114215810676
125.32060328145313,-1.5226692743490475,0.47733072565095225,-2.1955816760852835,0.8044183239147152,-2.7978467633411483,1.202153236658849
127.50912744913015,-1.529237739501916,0.47076226049808156,-2.202073737863027,0.7979262621369736,-2.8139636400041312,1.1860363599958716
129.73587069577016,-1.5354074695847801,0.46459253041521903,-2.2077691196589817,0.7922308803410196,-2.829162261811813,1.1708377381881878
132.00150045654192,-1.5411595570191055,0.4588404429808941,-2.2126523848109274,0.7873476151890723,-2.843372911061576,1.156627088938422
134.30669582230286,-1.5464780893459749,0.453521910654025,-2.216714364934314,0.7832856350656863,-2.856530915011871,1.1434690849881306
136.65214774314813,-1.551350322681519,0.44864967731847977,-2.2199524166528075,0.78004758334719,-2.868577206935457,1.1314227930645435
139.0385592355121,-1.5557668278428127,0.44423317215718805,-2.222370637921337,0.7776293620786644,-2.8794588356554973,1.1205411643445031
141.4666455928888,-1.5597216097309055,0.44027839026909477,-2.2239800433173404,0.7760199566826597,-2.889129422617693,1.1108705773823075
143.93713460023045,-1.5632122005659708,0.4367877994340261,-2.2247986964833224,0.7752013035166787,-2.897549567633391,1.1024504323666071
146.4507667520907,-1.5662397281062987,0.4337602718937033,-2.2248517973845767,0.7751482026154243,-2.9046872053863524,1.0953127946136456
149.00829547457835,-1.5688089594531385,0.43119104054686164,-2.2241717204641414,0.7758282795358595,-2.910517916208242,1.0894820837917567
