problem,path,artist_folder,file_count_in_folder,tag_title,tag_artist,tag_album,tag_album_artist,probable_source_album,probable_track_title,duration_seconds
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Long Distance Operator/Unknown Album/A Musical History [CD 2] - T.mp3,Long Distance Operator,1,A Musical History [CD 2] - T,18_Long_Distance_Operator_,,,A Musical History,Long Distance Operator,274
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Look Out Cleveland (Live)/Unknown Album/A Musical History [CD 3] - T.mp3,Look Out Cleveland (Live),1,A Musical History [CD 3] - T,20_Look_Out_Cleveland_(Live)_,,,A Musical History,Look Out Cleveland (Live),215
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Loving You (Is Sweeter Tha/Unknown Album/A Musical History [CD 4] - T.mp3,Loving You (Is Sweeter Tha,1,A Musical History [CD 4] - T,13_Loving_You_(Is_Sweeter_Tha,,,A Musical History,Loving You (Is Sweeter Tha,218
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Moon Struck One/Unknown Album/A Musical History [CD 4] - T.mp3,Moon Struck One,1,A Musical History [CD 4] - T,03_The_Moon_Struck_One_,,,A Musical History,The Moon Struck One,249
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Move Me (Song Sketch)/Unknown Album/A Musical History [CD 4] - T.mp3,Move Me (Song Sketch),1,A Musical History [CD 4] - T,15_Move_Me_(Song_Sketch)_,,,A Musical History,Move Me (Song Sketch),177
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Mystery Train/Unknown Album/A Musical History [CD 4] - T.mp3,Mystery Train,1,A Musical History [CD 4] - T,17_Mystery_Train_,,,A Musical History,Mystery Train,334
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Night They Drove Old D/Unknown Album/A Musical History [CD 3] - T.mp3,Night They Drove Old D,2,A Musical History [CD 3] - T,03_The_Night_They_Drove_Old_D,,,A Musical History,The Night They Drove Old D,214
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Night They Drove Old D/Unknown Album/A Musical History [CD 5] - T.mp3,Night They Drove Old D,2,A Musical History [CD 5] - T,18_The_Night_They_Drove_Old_D,,,A Musical History,The Night They Drove Old D,274
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Nineteen Years Old/Unknown Album/A Musical History [CD 1] - R.mp3,Nineteen Years Old,1,A Musical History [CD 1] - R,04_Nineteen_Years_Old_,,,A Musical History,Nineteen Years Old,255
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Odds And Ends/Unknown Album/A Musical History [CD 1] - T.mp3,Odds And Ends,1,A Musical History [CD 1] - T,22_Odds_And_Ends_,,,A Musical History,Odds And Ends,109
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Ophelia/Unknown Album/A Musical History [CD 5] - T.mp3,Ophelia,1,A Musical History [CD 5] - T,07_Ophelia_,,,A Musical History,Ophelia,213
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Orange Juice Blues (Blues/Unknown Album/A Musical History [CD 2] - T.mp3,Orange Juice Blues (Blues,1,A Musical History [CD 2] - T,16_Orange_Juice_Blues_(Blues_,,,A Musical History,Orange Juice Blues (Blues,199
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Out Of The Blue/Unknown Album/A Musical History [CD 5] - T.mp3,Out Of The Blue,1,A Musical History [CD 5] - T,16_Out_Of_The_Blue_,,,A Musical History,Out Of The Blue,202
